left,right
3.1653999999999978,3.0436
3.169599999999998,3.0476000000000005
3.1741999999999977,3.0520000000000005
3.179199999999998,3.0566000000000004
3.183999999999998,3.0612
3.1887999999999983,3.0658
3.1933999999999987,3.0706
3.1981999999999986,3.0754
3.2029999999999985,3.08
3.2077999999999984,3.0847999999999995
3.212599999999999,3.0893999999999995
3.2171999999999987,3.094
3.221999999999998,3.0986000000000002
3.226999999999998,3.1034
3.2317999999999985,3.108
3.2361999999999984,3.1127999999999996
3.240999999999998,3.1178
3.2455999999999983,3.1225999999999994
3.2497999999999987,3.1273999999999997
3.2541999999999986,3.1319999999999997
3.258799999999999,3.1366
3.263199999999999,3.141
3.267599999999999,3.1452000000000004
3.271799999999999,3.149200000000001
3.2757999999999985,3.1530000000000005
3.279399999999999,3.1566
3.2825999999999995,3.1598
3.2853999999999997,3.1628000000000003
3.2876,3.1654
3.2895999999999996,3.1675999999999997
3.2916,3.1691999999999996
3.2933999999999997,3.1705999999999994
3.295,3.1715999999999993
3.2964,3.1723999999999988
3.2972,3.172999999999999
3.298,3.1731999999999987
3.2986,3.1731999999999987
3.2988,3.1731999999999987
3.2992000000000004,3.1727999999999987
3.2992000000000004,3.171999999999999
3.2992000000000004,3.171199999999999
3.299,3.169999999999999
3.2985999999999995,3.1685999999999983
3.2979999999999996,3.166999999999998
3.2971999999999997,3.1651999999999982
3.2962000000000002,3.1629999999999985
3.2946,3.1605999999999987
3.2925999999999997,3.157999999999999
3.2904,3.1551999999999993
3.2878,3.1521999999999997
3.2849999999999993,3.1487999999999996
